Tahun,Bulan,soekarno_hatta_jakarta_domestik,ngurah_rai_bali_domestik,juanda_surabaya_domestik,kualanamu_medan_domestik,hasanudin_makassar_domestik,soekarno_hatta_jakarta_internasional,ngurah_rai_bali_internasional,juanda_surabaya_internasional,kualanamu_medan_internasional
2012,Mei,1668845,300242,542413,258197,249393,500195,248079,52604,61763
2012,Jun,1685196,316193,528568,267791,268880,545758,266074,59982,72995
2012,Jul,1671053,344636,602625,268165,266740,497611,294217,48206,59132
2012,Agu,1573873,334309,528977,267601,258670,492408,308934,57501,66576
2012,Sep,1680588,322192,651697,284783,262702,464407,277000,69700,59349
2012,Okt,1686800,342517,586731,284836,251176,469200,299204,64800,58900
2012,Nov,1720032,338759,607904,282910,231024,461017,260283,65061,61044
2012,Des,1822128,351085,608329,272697,189955,527856,249064,68807,76847
2013,Jan,1534744,334142,624398,308474,280711,458226,265246,75029,67563
2013,Feb,1418207,287172,518487,262363,242026,483528,239309,59691,61777
2013,Mar,1681186,323181,585913,272743,291695,598888,250043,61132,69891
2013,Apr,1596941,316988,560613,271268,269935,525330,260652,60353,64599
2013,Mei,1735299,347345,590532,257477,294782,558900,276720,64384,60808
2013,Jun,1854812,392070,627701,288301,312316,608045,295499,71637,87583
2013,Jul,1606661,341058,512111,243807,286661,497118,316461,55163,72508
2013,Agu,1856324,393412,658784,292670,318352,563870,337142,92622,81706
2013,Sep,1726190,374485,682269,262390,285830,511109,324999,84801,77862
2013,Okt,1816513,353341,685386,262411,306944,482701,313639,76940,77901
2013,Nov,1774351,375921,593909,244220,295746,482789,288504,74757,71795
2013,Des,2058080,405196,624290,208100,285474,601073,299970,92658,70537
2014,Jan,1712529,400459,617838,259256,287815,511279,344598,76063,60902
2014,Feb,1306951,321076,479197,241508,235540,457363,316680,66733,71807
2014,Mar,1658568,333199,538497,252182,255067,582058,314088,72501,67347
2014,Apr,1504102,328577,510996,236090,236644,474420,308091,68315,73025
2014,Mei,1860120,381608,554213,248371,262107,551213,323686,71341,76605
2014,Jun,1793386,407208,609753,306942,273007,574819,354380,71210,83061
2014,Jul,1575907,347456,455747,241200,219635,501827,376481,55537,72023
2014,Agu,1749146,458378,743304,316737,306915,452597,401519,80665,65267
2014,Sep,1644321,378289,604342,262390,245300,511170,374428,69489,67857
2014,Okt,1786361,388691,636143,262136,284951,516954,386836,98232,68110
2014,Nov,1724281,379706,593137,248748,272188,473468,327697,74874,67275
2014,Des,1950020,391516,644533,258578,268411,637672,321066,83161,92449
2015,Jan,1478308,356314,565027,294748,263245,529164,351858,70408,68314
2015,Feb,1332181,292316,474994,221984,215298,472881,333226,55608,68114
2015,Mar,1490037,315635,501031,240988,252525,554618,316858,67923,73720
2015,Apr,1492524,333421,513301,248491,234491,530864,325125,63127,71667
2015,Mei,1655718,375761,568271,265442,281906,540991,345822,62931,69355
2015,Jun,1556379,356428,518583,268027,261900,514979,370809,60985,73554
2015,Jul,1798426,380438,608491,316429,309799,506518,394150,63755,75815
2015,Agu,1759884,404915,699259,308179,322679,579491,440321,94383,61352
2015,Sep,1467594,327845,545042,245614,256807,494213,381684,82329,54032
2015,Okt,1603937,354721,605010,249646,308115,493901,509019,72086,55543
2015,Nov,1620867,317524,587291,276671,292726,481367,295608,63856,55465
2015,Des,1875545,306862,671396,290476,306862,649396,343367,78991,82385
2016,Jan,1746840,322876,656208,317318,376967,526597,413236,76998,66855
2016,Feb,1514119,338482,571726,317318,282961,497420,395123,67737,67007
2016,Mar,1669840,388148,618357,300626,309626,574291,347321,78994,67760
2016,Apr,1654878,349140,596085,297024,302431,533466,384729,73520,64828
2016,Mei,1863374,427732,675702,322226,349507,552259,418123,71163,70489
2016,Jun,1542497,381772,523451,280360,277715,519587,414317,64703,73855
2016,Jul,1940711,511350,825715,380567,395195,519619,465219,79797,78549
2016,Agu,1730919,475869,792232,312035,318159,604864,488154,53219,70203
2016,Sep,1639365,431540,649375,278897,323990,537419,447044,66131,60776
2016,Okt,1666021,430997,718451,287853,319488,513266,455097,72468,64943
2016,Nov,1643796,411965,699285,264322,318297,532389,399929,63731,66047
2016,Des,1963622,455718,693048,289707,350815,711289,407578,93487,98487
2017,Jan,1704606,449607,672153,334556,352303,579253,468463,76162,84349
2017,Feb,1479097,357173,546280,259457,277667,556814,420785,72852,76546
2017,Mar,1756665,378507,613925,287522,324880,650897,418326,77381,78018
2017,Apr,1802960,420640,615053,294602,321736,642422,454946,70694,82936
2017,Mei,1805970,442834,618375,294629,339579,591403,474471,69750,78022
2017,Jun,1788098,393120,539747,280475,295404,577780,495216,64102,88652
2017,Jul,2109734,547576,889548,384004,437365,581229,565919,88245,86533
2017,Agu,1891326,506510,676016,309004,339820,609355,621580,75571,69973
2017,Sep,1787086,456201,696308,305698,363580,594239,553183,76091,76299
2017,Okt,1841654,414066,655005,307834,355451,572199,494242,73603,76728
2017,Nov,1855288,367584,666423,301136,344065,651125,384869,86459,77147
2017,Des,2108796,394869,735560,318806,366189,766806,276983,107000,107683
2018,Jan,1751059,449389,689756,372984,369341,614156,399263,95096,96121
2018,Feb,1698478,401856,597290,290832,309966,585772,459067,76779,85572
2018,Mar,1931117,427958,660707,312516,344360,701434,488917,94044,94560
2018,Apr,1949487,467257,671763,324330,358725,661213,535876,84798,89633
2018,Mei,1768565,433394,592835,275394,329273,584468,558321,72560,78120
2018,Jun,1998533,479185,706372,336870,378082,643547,558866,85175,106025
2018,Jul,2132360,546118,856010,361523,431134,644069,618276,101424,92083
2018,Agu,1932013,509763,720669,317360,361641,677179,631774,86919,84111
2018,Sep,1852076,464489,706926,292582,364450,625313,580105,88481,79141
2018,Okt,1916452,481774,688559,307051,376212,651209,600169,78428,78238
2018,Nov,1796523,440613,634151,272602,338239,654378,479765,93862,84112
2018,Des,1883165,475739,642080,257567,359634,749542,493943,112532,101781
2019,Jan,1569630,428629,560242,280839,299845,624311,541448,95023,93545
2019,Feb,1427000,357076,473070,198871,242539,577299,500785,87859,91941
2019,Mar,1538314,369930,481147,202298,261757,695729,513587,99910,88223
2019,Apr,1403186,364220,443457,195395,246228,635388,538691,91459,90421
2019,Mei,1276006,289400,378933,155731,221716,579636,574330,76965,79875
2019,Jun,1568669,460273,607024,245820,306475,645915,581191,96241,97553
2019,Jul,1749777,459284,620237,236009,307516,675415,633137,130138,100076
2019,Agu,1714643,480603,541273,225363,291482,667553,674291,95313,85780
2019,Sep,1630312,424781,516321,214364,289609,648081,625912,89222,81069
2019,Okt,1738571,435861,543876,225484,295343,699038,634562,96924,88726
2019,Nov,1778862,435288,549010,229847,299358,682847,562609,105504,90653
2019,Des,1870092,450458,574001,220846,291897,767612,557946,116099,103042
2020,Jan,1600594,453130,553747,288819,308503,626097,641039,98475,96538
2020,Feb,1551967,346962,481881,227602,273885,444267,425633,71723,63610
2020,Mar,1211697,253517,408725,172348,230917,187899,274259,22324,25325
2020,Apr,191002,44122,97748,29386,49046,17499,6752,1026,616
2020,Mei,27500,2423,5397,3593,6663,9460,1624,340,182
2020,Jun,174352,11396,64137,28567,40508,14619,877,398,383
2020,Jul,427731,41375,121240,62904,79957,22618,2117,482,357
2020,Agu,574597,83260,186467,89451,134043,28513,1461,293,222
2020,Sep,500591,80930,162402,74638,129773,32043,391,407,279
2020,Okt,601391,99469,182889,85663,156486,36549,93,1620,217
2020,Nov,828893,169655,238036,116956,193428,42028,240,1188,234
2020,Des,931481,189289,244579,133574,194363,56330,196,826,510
2021,Jan,507262,118965,189560,157614,163992,48941,198,1252,379
2021,Feb,482132,71105,152366,100191,128429,30819,73,1052,476
2021,Mar,672107,116888,198457,122498,166182,38210,200,1153,715
2021,Apr,703135,142344,219430,119306,175885,41100,79,1545,555
2021,Mei,598615,121441,210700,104644,142954,42513,197,1113,334
2021,Jun,858770,225671,346782,150762,210516,54120,577,1111,275
2021,Jul,249940,49999,74127,51362,73783,45257,159,451,188
2021,Agu,321287,47409,97491,49711,66276,42345,419,236,88
2021,Sep,560577,113912,166499,80935,112102,47081,417,344,65
2021,Okt,824287,224887,231536,116465,159016,52031,240,136,29
2021,Nov,974987,274179,278750,143606,182441,73898,142,106,15
2021,Des,1192278,318264,305669,161457,182396,95915,320,53,31
2022,Jan,1069185,317662,301152,225304,211736,82944,518,108,15
2022,Feb,808614,191034,220164,137536,156830,100778,1028,8,15
2022,Mar,1195183,290652,319093,177348,219928,173977,11453,2376,26
2022,Apr,1206248,224687,285101,166129,179676,226557,47923,14791,1994
2022,Mei,1561849,395423,501021,245423,275356,307902,110403,31804,16793
2022,Jun,1527629,362418,404070,217171,229651,301893,170746,43037,23176
2022,Jul,1566606,408296,447785,230623,246482,300055,250747,28674,31716
2022,Agu,1367804,341349,346118,193350,201465,396039,298043,52999,57612
2022,Sep,1310419,299634,339071,179483,193865,445680,312284,71917,63034
2022,Okt,1405625,341780,367656,189447,210265,463463,336915,76741,69972
2022,Nov,1418906,317266,371289,188598,211856,443264,316073,75726,66127
2022,Des,1627832,388008,413988,198739,216028,509441,356398,80144,84790
2023,Jan,1419611,395523,408885,255263,231757,469016,404091,85769,81406
2023,Feb,1295180,299968,364358,190693,201365,479400,343603,83064,76054
2023,Mar,1452671,329959,387720,197738,226555,537237,393675,82533,75899
2023,Apr,1490809,332397,387112,209681,215723,476397,432068,60882,72200
2023,Mei,1645124,380661,551152,251463,269015,535276,474926,86118,70425
2023,Jun,1608563,423745,435295,216748,224500,579430,499604,98215,83814
2023,Jul,1737637,489801,521681,248679,290973,531071,560044,73509,74247
2023,Agu,1525937,427258,416647,209408,225558,634105,581283,97501,76590
2023,Sep,1468845,389220,415522,190778,223066,619877,543105,99484,75268
2023,Okt,1582366,435859,448194,197989,229951,624618,546246,104068,74218
2023,Nov,1599568,386873,417901,187237,224744,607438,460954,95850,74547
2023,Des,1712363,429996,446699,187584,222794,689402,473050,100405,90288
2024,Jan,1377314,404413,407656,225772,226312,650043,525077,100725,91868
2024,Feb,1346856,355648,357400,178374,197691,623149,491204,94571,92782
2024,Mar,1362594,302332,356325,158265,196465,609907,487215,84187,77563
2024,Apr,1606572,386965,498901,230344,267090,653900,549136,94411,100796
2024,Mei,1560672,413208,498862,191394,232896,652622,605275,89035,90322
2024,Jun,1584802,395723,448073,190287,233781,653964,615636,75692,100076
2024,Jul,1767891,456189,519012,216423,279344,660180,659161,83210,88189
2024,Agu,1643381,450506,431557,190270,242746,774041,687823,112990,90201
2024,Sep,1614542,423374,435594,205372,237863,750773,649636,104265,95557
2024,Okt,1576731,386797,441084,177282,229525,726088,651246,95116,88873
2024,Nov,1473972,343317,399840,167498,208352,717749,558811,93615,89206
2024,Des,1747097,400576,483006,188929,246126,822807,562465,98679,110782
